date,zhvi
1/31/1996,196258
2/29/1996,195693
3/31/1996,195383
4/30/1996,194836
5/31/1996,194652
6/30/1996,194520
7/31/1996,194447
8/31/1996,194313
9/30/1996,194271
10/31/1996,194341
11/30/1996,194496
12/31/1996,194755
1/31/1997,195144
2/28/1997,196135
3/31/1997,197185
4/30/1997,198143
5/31/1997,198601
6/30/1997,199185
7/31/1997,199877
8/31/1997,200789
9/30/1997,201707
10/31/1997,202620
11/30/1997,203785
12/31/1997,204995
1/31/1998,206282
2/28/1998,206895
3/31/1998,207400
4/30/1998,207784
5/31/1998,208585
6/30/1998,209417
7/31/1998,210201
8/31/1998,211248
9/30/1998,212434
10/31/1998,213887
11/30/1998,215089
12/31/1998,216323
1/31/1999,217391
2/28/1999,218756
3/31/1999,220205
4/30/1999,222080
5/31/1999,224080
6/30/1999,226232
7/31/1999,228726
8/31/1999,230969
9/30/1999,233236
10/31/1999,235079
11/30/1999,236861
12/31/1999,238679
1/31/2000,240658
2/29/2000,243340
3/31/2000,246394
4/30/2000,249453
5/31/2000,252310
6/30/2000,254992
7/31/2000,257707
8/31/2000,260099
9/30/2000,262610
10/31/2000,265366
11/30/2000,268604
12/31/2000,271482
1/31/2001,274223
2/28/2001,276822
3/31/2001,280316
4/30/2001,283774
5/31/2001,286867
6/30/2001,289089
7/31/2001,291184
8/31/2001,293434
9/30/2001,295478
10/31/2001,297651
11/30/2001,300207
12/31/2001,303246
1/31/2002,306424
2/28/2002,308386
3/31/2002,308036
4/30/2002,307297
5/31/2002,307306
6/30/2002,309195
7/31/2002,311424
8/31/2002,314450
9/30/2002,317709
10/31/2002,320754
11/30/2002,322838
12/31/2002,324949
1/31/2003,327077
2/28/2003,330376
3/31/2003,334863
4/30/2003,340032
5/31/2003,344750
6/30/2003,349415
7/31/2003,352959
8/31/2003,356217
9/30/2003,358366
10/31/2003,360850
11/30/2003,363593
12/31/2003,366451
1/31/2004,370223
2/29/2004,373835
3/31/2004,377572
4/30/2004,380686
5/31/2004,384349
6/30/2004,388161
7/31/2004,392534
8/31/2004,396397
9/30/2004,401544
10/31/2004,407148
11/30/2004,414115
12/31/2004,419912
1/31/2005,424811
2/28/2005,429318
3/31/2005,435001
4/30/2005,441816
5/31/2005,447932
6/30/2005,452846
7/31/2005,458983
8/31/2005,465431
9/30/2005,472715
10/31/2005,480101
11/30/2005,487168
12/31/2005,494636
1/31/2006,500592
2/28/2006,506267
3/31/2006,508485
4/30/2006,510606
5/31/2006,513148
6/30/2006,518144
7/31/2006,521337
8/31/2006,524195
9/30/2006,524801
10/31/2006,522607
11/30/2006,518041
12/31/2006,515028
1/31/2007,514159
2/28/2007,514639
3/31/2007,517821
4/30/2007,519488
5/31/2007,521744
6/30/2007,519368
7/31/2007,518396
8/31/2007,517083
9/30/2007,516381
10/31/2007,517250
11/30/2007,518203
12/31/2007,518893
1/31/2008,518701
2/29/2008,517635
3/31/2008,514982
4/30/2008,512110
5/31/2008,507533
6/30/2008,504538
7/31/2008,500645
8/31/2008,497449
9/30/2008,493841
10/31/2008,490439
11/30/2008,487081
12/31/2008,482878
1/31/2009,478007
2/28/2009,472622
3/31/2009,468443
4/30/2009,464624
5/31/2009,461459
6/30/2009,457839
7/31/2009,454026
8/31/2009,450417
9/30/2009,447440
10/31/2009,445084
