date,zhvi
1/31/1996,130920
2/29/1996,130772
3/31/1996,130511
4/30/1996,130495
5/31/1996,130172
6/30/1996,130291
7/31/1996,130143
8/31/1996,130523
9/30/1996,131041
10/31/1996,131790
11/30/1996,132635
12/31/1996,133214
1/31/1997,133819
2/28/1997,134352
3/31/1997,135028
4/30/1997,135143
5/31/1997,135857
6/30/1997,135900
7/31/1997,136201
8/31/1997,135303
9/30/1997,133972
10/31/1997,132069
11/30/1997,130353
12/31/1997,129519
1/31/1998,129162
2/28/1998,129105
3/31/1998,129315
4/30/1998,129673
5/31/1998,130012
6/30/1998,130386
7/31/1998,131026
8/31/1998,132648
9/30/1998,135057
10/31/1998,138198
11/30/1998,140942
12/31/1998,142992
1/31/1999,144137
2/28/1999,145133
3/31/1999,145940
4/30/1999,146894
5/31/1999,147594
6/30/1999,148865
7/31/1999,150308
8/31/1999,151491
9/30/1999,152141
10/31/1999,152571
11/30/1999,153417
12/31/1999,154447
1/31/2000,156122
2/29/2000,157825
3/31/2000,159606
4/30/2000,161190
5/31/2000,162862
6/30/2000,164421
7/31/2000,165854
8/31/2000,167269
9/30/2000,168692
10/31/2000,170131
11/30/2000,171804
12/31/2000,173544
1/31/2001,175101
2/28/2001,176385
3/31/2001,177799
4/30/2001,179384
5/31/2001,181099
6/30/2001,182681
7/31/2001,184067
8/31/2001,185527
9/30/2001,187032
10/31/2001,188688
11/30/2001,190171
12/31/2001,191380
1/31/2002,192594
2/28/2002,193914
3/31/2002,195512
4/30/2002,196720
5/31/2002,198034
6/30/2002,199099
7/31/2002,200674
8/31/2002,202216
9/30/2002,203990
10/31/2002,205464
11/30/2002,206650
12/31/2002,208058
1/31/2003,209466
2/28/2003,211238
3/31/2003,212702
4/30/2003,214393
5/31/2003,215536
6/30/2003,216849
7/31/2003,217985
8/31/2003,219511
9/30/2003,221055
10/31/2003,222839
11/30/2003,224560
12/31/2003,226272
1/31/2004,228154
2/29/2004,229842
3/31/2004,231476
4/30/2004,233310
5/31/2004,235563
6/30/2004,238049
7/31/2004,240318
8/31/2004,242421
9/30/2004,244216
10/31/2004,246214
11/30/2004,248445
12/31/2004,250773
1/31/2005,252832
2/28/2005,254843
3/31/2005,256932
4/30/2005,259156
5/31/2005,261592
6/30/2005,264147
7/31/2005,266696
8/31/2005,269103
9/30/2005,271885
10/31/2005,274386
11/30/2005,276819
12/31/2005,279023
1/31/2006,280994
2/28/2006,283177
3/31/2006,284850
4/30/2006,286799
5/31/2006,287944
6/30/2006,288968
7/31/2006,289628
8/31/2006,290446
9/30/2006,290953
10/31/2006,291373
11/30/2006,291610
12/31/2006,292249
1/31/2007,292975
2/28/2007,294169
3/31/2007,293600
4/30/2007,293299
5/31/2007,291449
6/30/2007,291176
7/31/2007,289521
8/31/2007,289233
9/30/2007,287909
10/31/2007,287719
11/30/2007,286857
12/31/2007,285754
1/31/2008,285224
2/29/2008,281610
3/31/2008,281903
4/30/2008,277382
5/31/2008,277406
6/30/2008,272281
7/31/2008,271383
8/31/2008,266727
9/30/2008,264942
10/31/2008,260343
11/30/2008,257346
12/31/2008,251973
1/31/2009,246766
2/28/2009,242815
3/31/2009,238308
4/30/2009,235998
5/31/2009,231980
6/30/2009,229971
7/31/2009,227711
8/31/2009,226294
9/30/2009,223314
10/31/2009,221342
11/30/2009,218918
12/31/2009,219254
1/31/2010,217978
2/28/2010,218203
3/31/2010,215311
4/30/2010,215345
5/31/2010,212877
6/30/2010,213038
7/31/2010,209000
8/31/2010,207128
9/30/2010,204227
10/31/2010,203049
11/30/2010,200478
12/31/2010,198182
1/31/2011,196048
2/28/2011,194139
3/31/2011,192634
4/30/2011,189737
5/31/2011,188372
6/30/2011,185790
7/31/2011,185927
8/31/2011,184640
9/30/2011,184325
10/31/2011,181420
11/30/2011,180168
12/31/2011,177500
1/31/2012,176378
2/29/2012,173644
3/31/2012,173927
4/30/2012,173621
5/31/2012,173899
6/30/2012,172653
7/31/2012,171086
8/31/2012,170076
9/30/2012,169495
10/31/2012,170387
11/30/2012,171668
12/31/2012,173085
1/31/2013,174891
2/28/2013,176633
3/31/2013,177449
4/30/2013,178719
5/31/2013,179731
6/30/2013,182260
7/31/2013,184800
8/31/2013,187738
9/30/2013,189732
10/31/2013,192368
11/30/2013,193388
12/31/2013,195079
1/31/2014,195521
2/28/2014,197250
3/31/2014,198094
4/30/2014,198349
5/31/2014,199134
6/30/2014,200491
7/31/2014,201756
8/31/2014,202221
9/30/2014,203389
