date,zhvi
1/31/1996,185649
2/29/1996,185625
3/31/1996,185645
4/30/1996,185706
5/31/1996,185755
6/30/1996,185852
7/31/1996,186014
8/31/1996,185977
9/30/1996,185812
10/31/1996,185482
11/30/1996,185346
12/31/1996,185219
1/31/1997,184629
2/28/1997,184056
3/31/1997,183653
4/30/1997,183835
5/31/1997,184073
6/30/1997,184301
7/31/1997,184759
8/31/1997,185678
9/30/1997,186633
10/31/1997,187795
11/30/1997,188687
12/31/1997,190038
1/31/1998,191973
2/28/1998,194272
3/31/1998,196337
4/30/1998,197771
5/31/1998,199307
6/30/1998,200699
7/31/1998,201659
8/31/1998,202835
9/30/1998,204761
10/31/1998,206983
11/30/1998,209235
12/31/1998,210887
1/31/1999,212915
2/28/1999,214751
3/31/1999,216648
4/30/1999,218357
5/31/1999,220040
6/30/1999,222436
7/31/1999,225138
8/31/1999,226956
9/30/1999,228103
10/31/1999,229252
11/30/1999,231065
12/31/1999,232860
1/31/2000,234614
2/29/2000,236153
3/31/2000,238117
4/30/2000,240155
5/31/2000,242487
6/30/2000,244496
7/31/2000,246431
8/31/2000,248748
9/30/2000,251159
10/31/2000,253278
11/30/2000,255289
12/31/2000,257442
1/31/2001,259485
2/28/2001,261645
3/31/2001,263736
4/30/2001,266252
5/31/2001,268457
6/30/2001,270817
7/31/2001,272802
8/31/2001,274992
9/30/2001,277032
10/31/2001,279775
11/30/2001,282350
12/31/2001,285246
1/31/2002,288051
2/28/2002,291367
3/31/2002,294820
4/30/2002,298656
5/31/2002,302404
6/30/2002,306606
7/31/2002,311322
8/31/2002,316297
9/30/2002,321416
10/31/2002,326691
11/30/2002,332466
12/31/2002,338135
1/31/2003,343215
2/28/2003,347768
3/31/2003,352824
4/30/2003,357243
5/31/2003,362222
6/30/2003,366345
7/31/2003,372207
8/31/2003,378392
9/30/2003,384897
10/31/2003,390197
11/30/2003,396651
12/31/2003,403865
1/31/2004,412876
2/29/2004,421342
3/31/2004,429837
4/30/2004,439637
5/31/2004,450960
6/30/2004,462218
7/31/2004,471517
8/31/2004,479932
9/30/2004,489769
10/31/2004,499512
11/30/2004,507527
12/31/2004,514743
1/31/2005,520987
2/28/2005,530077
3/31/2005,538362
4/30/2005,547026
5/31/2005,553155
6/30/2005,561053
7/31/2005,570253
8/31/2005,580514
9/30/2005,590751
10/31/2005,601842
11/30/2005,610734
12/31/2005,618108
1/31/2006,624755
2/28/2006,630004
3/31/2006,636285
4/30/2006,640154
5/31/2006,646316
6/30/2006,650327
7/31/2006,653364
8/31/2006,654803
9/30/2006,652556
10/31/2006,651129
11/30/2006,650726
12/31/2006,652588
1/31/2007,652104
2/28/2007,650321
3/31/2007,648030
4/30/2007,648101
5/31/2007,646471
6/30/2007,644582
7/31/2007,640830
8/31/2007,636023
9/30/2007,629975
10/31/2007,621816
11/30/2007,614364
12/31/2007,607072
1/31/2008,600760
2/29/2008,592437
3/31/2008,580062
4/30/2008,564878
5/31/2008,548555
6/30/2008,535227
7/31/2008,522003
8/31/2008,510146
9/30/2008,500399
10/31/2008,491519
11/30/2008,481940
12/31/2008,468438
1/31/2009,458566
2/28/2009,452147
3/31/2009,448647
4/30/2009,444735
5/31/2009,441187
6/30/2009,437445
7/31/2009,435256
8/31/2009,435198
9/30/2009,436039
10/31/2009,437275
11/30/2009,439059
12/31/2009,442879
1/31/2010,443474
2/28/2010,441260
3/31/2010,440817
4/30/2010,441873
5/31/2010,445830
6/30/2010,444219
7/31/2010,442515
8/31/2010,438684
9/30/2010,435730
10/31/2010,432400
11/30/2010,427960
12/31/2010,425356
1/31/2011,423695
2/28/2011,423326
3/31/2011,420806
4/30/2011,418116
5/31/2011,412713
6/30/2011,411740
7/31/2011,410351
8/31/2011,409012
9/30/2011,405993
10/31/2011,402808
11/30/2011,402486
12/31/2011,401045
1/31/2012,400472
2/29/2012,399385
3/31/2012,398855
4/30/2012,398920
5/31/2012,400478
6/30/2012,402586
7/31/2012,405130
8/31/2012,407594
9/30/2012,411279
10/31/2012,416955
11/30/2012,421848
12/31/2012,428643
1/31/2013,433682
2/28/2013,442252
3/31/2013,451006
4/30/2013,461810
5/31/2013,470695
6/30/2013,479500
7/31/2013,488323
8/31/2013,499478
9/30/2013,509007
10/31/2013,515618
11/30/2013,520480
12/31/2013,523211
1/31/2014,527651
2/28/2014,528337
3/31/2014,530033
4/30/2014,529716
5/31/2014,531222
6/30/2014,531919
7/31/2014,534606
8/31/2014,534265
9/30/2014,534611
10/31/2014,534694
11/30/2014,537948
12/31/2014,541286
1/31/2015,545724
2/28/2015,550456
3/31/2015,555041
4/30/2015,556674
5/31/2015,559564
6/30/2015,562356
7/31/2015,564698
8/31/2015,567443
9/30/2015,570388
10/31/2015,575132
11/30/2015,578925
12/31/2015,584545
1/31/2016,587711
2/29/2016,591562
3/31/2016,593862
4/30/2016,600103
5/31/2016,604219
6/30/2016,608947
7/31/2016,611310
8/31/2016,615416
