date,zhvi
1/31/1996,98258
2/29/1996,98556
3/31/1996,98876
4/30/1996,99501
5/31/1996,100096
6/30/1996,100639
7/31/1996,101151
8/31/1996,101637
9/30/1996,102107
10/31/1996,102559
11/30/1996,103021
12/31/1996,103504
1/31/1997,103992
2/28/1997,104474
3/31/1997,104907
4/30/1997,105318
5/31/1997,105741
6/30/1997,106169
7/31/1997,106571
8/31/1997,106967
9/30/1997,107431
10/31/1997,107926
11/30/1997,108405
12/31/1997,108852
1/31/1998,109381
2/28/1998,109929
3/31/1998,110457
4/30/1998,110913
5/31/1998,111392
6/30/1998,111887
7/31/1998,112515
8/31/1998,113220
9/30/1998,113887
10/31/1998,114538
11/30/1998,115220
12/31/1998,115904
1/31/1999,116372
2/28/1999,116814
3/31/1999,117339
4/30/1999,118027
5/31/1999,118762
6/30/1999,119753
7/31/1999,120673
8/31/1999,121556
9/30/1999,122298
10/31/1999,123047
11/30/1999,123712
12/31/1999,124386
1/31/2000,125271
2/29/2000,126245
3/31/2000,127197
4/30/2000,128139
5/31/2000,129077
6/30/2000,129792
7/31/2000,130532
8/31/2000,131246
9/30/2000,132139
10/31/2000,132948
11/30/2000,133761
12/31/2000,134597
1/31/2001,135430
2/28/2001,136254
3/31/2001,137054
4/30/2001,137790
5/31/2001,138524
6/30/2001,139236
7/31/2001,139922
8/31/2001,140572
9/30/2001,141246
10/31/2001,141970
11/30/2001,142791
12/31/2001,143513
1/31/2002,144167
2/28/2002,144703
3/31/2002,145335
4/30/2002,145931
5/31/2002,146488
6/30/2002,147105
7/31/2002,147714
8/31/2002,148413
9/30/2002,148957
10/31/2002,149598
11/30/2002,150279
12/31/2002,151090
1/31/2003,151936
2/28/2003,152749
3/31/2003,153473
4/30/2003,154229
5/31/2003,154930
6/30/2003,155566
7/31/2003,155984
8/31/2003,156471
9/30/2003,157236
10/31/2003,158135
11/30/2003,158999
12/31/2003,159824
1/31/2004,160801
2/29/2004,161927
3/31/2004,163340
4/30/2004,164753
5/31/2004,166303
6/30/2004,167482
7/31/2004,169268
8/31/2004,171471
9/30/2004,173467
10/31/2004,175688
11/30/2004,177969
12/31/2004,181701
1/31/2005,186110
2/28/2005,191667
3/31/2005,196747
4/30/2005,202144
5/31/2005,207509
6/30/2005,214825
7/31/2005,222827
8/31/2005,230729
9/30/2005,239316
10/31/2005,246393
11/30/2005,253927
12/31/2005,258323
1/31/2006,261084
2/28/2006,261450
3/31/2006,262206
4/30/2006,263064
5/31/2006,264322
6/30/2006,264392
7/31/2006,263202
8/31/2006,261502
9/30/2006,258999
10/31/2006,257813
11/30/2006,256048
12/31/2006,255264
1/31/2007,254362
2/28/2007,254701
3/31/2007,255090
4/30/2007,255885
5/31/2007,255421
6/30/2007,253838
7/31/2007,251810
8/31/2007,249985
9/30/2007,247952
10/31/2007,245243
11/30/2007,240996
12/31/2007,236833
1/31/2008,232421
2/29/2008,227310
3/31/2008,221934
4/30/2008,215245
5/31/2008,210594
6/30/2008,205577
7/31/2008,200783
8/31/2008,194685
9/30/2008,189097
10/31/2008,184497
11/30/2008,180052
12/31/2008,175235
1/31/2009,170805
2/28/2009,167232
3/31/2009,163523
4/30/2009,159593
5/31/2009,154760
6/30/2009,150988
7/31/2009,148251
8/31/2009,146138
9/30/2009,144293
10/31/2009,141231
11/30/2009,139935
12/31/2009,139054
1/31/2010,138948
2/28/2010,137630
3/31/2010,136195
4/30/2010,135623
5/31/2010,134845
6/30/2010,134026
7/31/2010,131449
8/31/2010,129334
9/30/2010,126605
10/31/2010,125153
11/30/2010,123143
12/31/2010,121029
1/31/2011,118423
2/28/2011,116525
3/31/2011,115566
4/30/2011,113805
5/31/2011,112062
6/30/2011,110047
7/31/2011,109554
8/31/2011,109333
9/30/2011,109497
10/31/2011,109679
11/30/2011,109869
12/31/2011,111002
1/31/2012,111914
2/29/2012,113459
3/31/2012,114440
4/30/2012,117254
5/31/2012,120746
